Date,Load,avg_sunshine,avg_temp,COVID19_Index,Weekend_Holiday,Temp_sq,Sunshine_sq,Temp.Sunshine
2017-04-06,27785.04167,669.394,9.667781750000001,0.0,0,93.46600396563309,448088.327236,6471.555096759501
2017-04-07,27354.08333,422.61566666666664,10.800281483333334,0.0,0,116.64608011923289,178604.0017121111,4564.368159266573
2017-04-08,23162.16667,767.6193333333332,12.68778165,0.0,1,160.97980319807672,589239.4409071109,9739.386491651898
2017-04-09,21322.125,693.872,13.219448333333332,0.0,1,174.75381423766942,481458.35238399997,9172.605053946665
2017-04-10,26409.22917,420.2453333333333,10.058615025,0.0,0,101.17573622115574,176606.1401884444,4227.0860240528
2017-04-11,26247.91667,382.9456666666667,10.038615,0.0,0,100.773791118225,146647.3836187778,3844.2441135850004
2017-04-12,26601.35417,331.76033333333334,10.784448166666666,0.0,0,116.30432225952,110064.91877344444,3577.8521185893887
2017-04-13,27397.89583,419.78999999999996,8.993614941666666,0.0,0,80.8851097189699,176223.64409999998,3775.4296163622494
2017-04-14,24704.5625,206.766,10.135281791666666,0.0,1,102.72393699648985,42752.178755999994,2095.6316749357497
2017-04-15,22127.41667,467.233,9.735281774999999,0.0,1,94.77571123864713,218306.676289,4548.644909578575
2017-04-16,22527.95833,212.11653333333334,9.132781675,0.0,1,83.40770112321582,44993.42371335111,1937.2139885911934
2017-04-17,24171.77083,205.52266666666665,8.7569483,0.0,1,76.68414352887288,42239.56651377777,1799.7513664781331
2017-04-18,26464.125,631.7273333333334,7.811114933333333,0.0,0,61.013516501743005,399079.4236804445,4934.494807194845
2017-04-19,27456.4375,321.59200000000004,7.659448345,0.0,0,58.66714894972324,103421.41446400003,2463.2173121652404
2017-04-20,28274.39583,237.50276666666664,10.727781666666667,0.0,0,115.08529948766945,56407.5641743211,2547.8778260292775
2017-04-21,27545.8125,509.39866666666666,12.368614916666667,0.0,0,152.98263495678918,259487.00160177777,6300.555947063444
2017-04-22,23735.20833,319.8642333333333,10.747781633333332,0.0,1,115.51481003781731,102313.12776592108,3437.830932180247
2017-04-23,22982.22917,440.1886666666667,9.140281666666667,0.0,1,83.54474894600278,193766.06226177778,4023.448399807778
2017-04-24,27439.64583,197.41013333333333,9.668615041666667,0.0,0,93.48211682394293,38970.76074268445,1908.682584524089
2017-04-25,27763.10417,602.8086666666667,5.141115033333333,0.0,0,26.431063785965993,363378.28860844445,3099.1086984236217
2017-04-26,28796.3125,382.7267,4.908614802083333,0.0,0,24.0944992752316,146479.72689289,1878.657944772507
2017-04-27,29704.3125,49.07223333333334,6.5369482,0.0,0,42.73169176948324,2408.0840843211113,320.7826473583134
2017-04-28,28594.6875,166.644,8.575281583333334,0.0,0,73.53545423345585,27770.222736000003,1429.019224173
2017-04-29,24341.70833,112.06426666666665,10.090281741666667,0.0,1,101.8137856262117,12558.399863537776,1130.760023839931
2017-04-30,22149.875,21.621290000000002,11.701114958333335,0.0,1,136.91609126813213,467.48018126410005,252.99319983746298
2017-05-01,24096.75,131.17833333333334,10.674448416666666,0.0,1,113.94384900007748,17207.755136111115,1400.2563525509722
2017-05-02,27255.77083,252.02133333333336,11.1927818,0.0,0,125.27836442241126,63514.75245511113,2820.819792945067
2017-05-03,27338.83333,193.61706666666666,9.889448216666667,0.0,0,97.80118603013152,37487.56850460444,1914.7659546628977
2017-05-04,26124.1875,366.97686666666664,11.096115083333332,0.0,0,123.12376994257748,134672.02066848442,4072.017545454405
2017-05-05,24995.5625,460.8766666666666,10.457781883333332,0.0,0,109.36520191937487,212407.30187777773,4819.7476551177215
2017-05-06,24207.64583,148.85366666666667,11.217781641666667,0.0,1,125.8386249601137,22157.414080111113,1669.807929228103
2017-05-07,22792.5625,577.4736666666666,10.704448341666668,0.0,1,114.58521429941027,333475.8356934444,6181.53703350617
2017-05-08,26693.72917,167.3379,9.410281591666667,0.0,0,88.55339963446055,28001.972776409995,1574.6967599581574
