Date,Load,avg_sunshine,avg_temp,COVID19_Index,Weekend_Holiday,Temp_sq,Sunshine_sq,Temp.Sunshine
2017-01-02,2488.1041600000026,346.37952333333334,-2.53749985,0.0,0.0,-21.65264650545719,189546.1987857217,783.5523915590309
2017-01-03,4532.458339999997,-246.76280000000006,0.18499999250000077,0.0,-1.0,1.1434041658416128,-159615.52312469337,-702.7340536325914
2017-01-04,546.4791600000026,92.3588,1.8133332158333322,0.0,0.0,14.831064724046314,45480.60100469334,824.1698773541939
2017-01-05,1473.75,166.07800000000003,-3.3766665374999993,0.0,0.0,-22.33855087008697,124703.09857866669,-718.3701748430204
2017-01-06,-510.3125,-410.769,2.5133331875000007,0.0,0.0,14.457270173660932,-207922.915497,-545.3197732360458
2017-01-07,-3984.2083300000013,-25.044100000000004,4.789166725,0.0,1.0,62.52127736247729,-1762.2673322566668,5.026631045909113
2017-01-08,-1316.5833300000013,95.04450000000001,-0.3749999000000024,0.0,0.0,-6.550834471860384,13341.108163350002,803.8424714256607
2017-01-09,3014.9583300000013,-20.349733333333347,-0.5199999916666656,0.0,-1.0,-8.618426141550842,-4376.4489235377805,-224.55323875539227
2017-01-10,714.4166699999987,140.2023333333333,-1.2458336,0.0,0.0,-18.448382560900157,46955.771000111105,829.4387345894833
2017-01-11,-1356.25,216.68766666666662,0.6491668500000012,0.0,0.0,9.225567402631015,149905.46677988884,1764.2653775215167
2017-01-12,2579.9583300000013,-400.1446666666666,-2.926666700000001,0.0,0.0,-34.926537487796566,-203412.47424755548,-3131.524124763733
2017-01-13,-638.8125,301.737,-2.087499948333333,0.0,0.0,-14.444935707834787,123693.96520100003,616.0947466329472
2017-01-14,-2662.75,-2.8436666666667065,0.7299999691666668,0.0,1.0,4.060427635422913,-2015.6847743333637,250.81547023177507
2017-01-15,-610.5625,-321.8446666666667,2.3825001125000003,0.0,0.0,20.667545091709208,-123634.91219511112,-938.3454294862556
2017-01-16,4127.1875,-31.150000000000002,0.4108331999999999,0.0,-1.0,4.711461129647116,-970.3225000000001,-172.21635828833337
2017-01-17,394.1666699999987,168.95533333333333,-0.9850000083333335,0.0,0.0,-10.730488102240802,28545.904661777775,837.0804513376166
2017-01-18,383.9166600000026,37.139333333333326,0.10583337500000045,0.0,0.0,1.059892657092913,13929.106966666663,205.8165982538502
2017-01-19,-48.3125,48.19499999999999,-0.01083339166666697,0.0,0.0,-0.10952266265785227,22188.222944999994,241.12545215621367
2017-01-20,-991.9166600000026,157.03466666666665,-2.214166635,0.0,0.0,-17.45810560855717,104524.47261866665,-117.80219878406274
2017-01-21,-2348.0,-188.7923333333333,-2.134999909166667,0.0,1.0,-7.548427190915507,-119667.21616811109,-1010.3852236732811
2017-01-22,-403.7708399999974,118.4913333333333,1.50833329,0.0,0.0,4.387585606600591,66776.42285377777,597.354154429427
2017-01-23,4320.270839999997,-71.98700000000002,1.32416664,0.0,-1.0,7.602565776314147,-43916.36522433335,197.25737284232412
2017-01-24,-832.6666699999987,-10.400333333333265,0.686666741666667,0.0,0.0,5.323198466683914,-5487.968157444411,140.8546332245022
2017-01-25,179.5416699999987,25.92683333333332,0.6758331824999999,0.0,0.0,6.160036884969216,14083.42561869444,301.71393903464536
2017-01-26,1143.0625,126.70716666666664,-3.4899998891666666,0.0,0.0,-21.988964686462584,88167.00678530552,-815.0650031938604
2017-01-27,-402.5,-337.3936,1.6341666624999998,0.0,0.0,7.263429460442096,-163685.29042303996,-353.4066778528916
2017-01-28,-5375.291669999999,73.82759999999998,3.6649999166666665,0.0,1.0,35.71137986050862,16358.749139039995,765.7303203891831
2017-01-29,51.9166699999987,-16.109266666666656,-1.4008332416666667,0.0,0.0,-16.821294063573376,-4499.2977749288875,-292.3460209224911
2017-01-30,3624.8125,-131.59473333333332,3.0175000999999995,0.0,-1.0,41.11262423805632,-17317.173841071108,-697.9277972411754
2017-01-31,-135.1041699999987,0.0,-1.4358334249999993,0.0,0.0,-21.833852667634957,0.0,0.0
2017-02-01,-1186.7708300000013,163.163,2.307499983333334,0.0,0.0,37.10013071986562,26622.164569000004,1499.9218282798752
2017-02-02,-1743.8541699999987,-132.31193333333334,0.768333208333333,0.0,0.0,14.71657471791572,-25670.376254528892,-1192.6108104823863
2017-02-03,-41.2708300000013,22.12676666666667,-1.4574997833333327,0.0,0.0,-26.91233980426685,1854.8625102233336,143.19208305223617
2017-02-04,-1884.5208399999974,139.01276666666666,-2.959166883333334,0.0,1.0,-41.57056344573316,34053.739663665554,613.9788293375082
2017-02-05,621.25,-161.56313333333333,-1.0024999,0.0,0.0,-10.111611415777023,-35934.559760608885,-926.2819507015089
2017-02-06,4373.583339999997,57.62386666666667,-0.1200000750000001,0.0,-1.0,-1.075668247292235,6827.206574026666,251.15845472144773
2017-02-07,-895.9791699999987,156.47933333333333,2.0108333666666667,0.0,0.0,21.82705276744932,52042.20963866667,1183.6539287731166
2017-02-08,1454.625,-134.58633333333336,-2.071666633333333,0.0,0.0,-22.361355188175665,-47707.490508333336,-1093.532489961114
2017-02-09,806.8333300000013,18.72766666666668,-3.0983332758333333,0.0,0.0,-17.424705895585667,4468.72715188889,-316.9952326576016
2017-02-10,-167.0833300000013,-27.25833333333334,0.33583330499999997,0.0,0.0,0.9609522782132074,-6271.751797222221,-0.3632362713664179
2017-02-11,-3266.5,-65.82999999999998,-0.08999997500000001,0.0,1.0,-0.2796506163192518,-9018.534453333332,-108.43935154319999
2017-02-12,-1870.4791699999987,51.10966666666666,1.3683333541666662,0.0,0.0,6.000912557303401,6249.536710999999,195.73018829743745
